file,m,j,d,p,i,rpfguan_solution,rpfguan_optimal,rpfguan_time,rpfguangap,rpfguanbuild_time,rpfguan_solution_time,tbasedw_solution,tbasedw_optimal,tbasedw_time,tbasedwgap,tbasedwbuild_time,tbasedw_solution_time
m15j25d25p20_2.csv.out,15,25,25,20,2,14,0,1800.9400000572205,0.2142857142841838,0.057000160217285156,1800.8829999,14,1,228.1909999847412,0.0,14.164000034332275,214.02699995
m15j25d25p20_3.csv.out,15,25,25,20,3,15,1,192.40400004386902,0.0,0.05799984931945801,192.346000195,15,1,50.68299984931946,0.0,15.92199993133545,34.760999918
m15j25d25p20_4.csv.out,15,25,25,20,4,16,0,1800.4570000171661,0.18689194978513524,0.05799984931945801,1800.39900017,16,1,51.59100008010864,0.0,16.000999927520752,35.5900001526
m15j25d25p20_5.csv.out,15,25,25,20,5,16,1,8.266000032424927,0.0,0.05799984931945801,8.20800018311,16,1,69.10399985313416,0.0,19.363999843597412,49.7400000095
m15j25d25p20_6.csv.out,15,25,25,20,6,16,1,1428.930999994278,0.0,0.056999921798706055,1428.87400007,16,1,83.78800010681152,0.0,19.694000005722046,64.0940001011
m15j25d25p20_7.csv.out,15,25,25,20,7,14,1,196.37199997901917,0.0,0.059999942779541016,196.312000036,14,1,47.271000146865845,0.0,17.20900011062622,30.0620000362
m15j25d25p20_8.csv.out,15,25,25,20,8,13,1,1586.5720000267029,0.0,0.056999921798706055,1586.5150001,13,1,59.46799993515015,0.0,17.427000045776367,42.0409998894
m15j25d25p20_9.csv.out,15,25,25,20,9,15,1,54.06700015068054,0.0,0.057000160217285156,54.0099999905,15,1,75.99300003051758,0.0,19.40499997138977,56.5880000591
m15j25d25p40_0.csv.out,15,25,25,40,0,16,0,1800.236999988556,0.06249999999961833,0.11400008201599121,1800.12299991,16,1,236.99300003051758,0.0,68.12899994850159,168.864000082
m15j25d25p40_1.csv.out,15,25,25,40,1,18,1,349.00800013542175,0.0,0.1100001335144043,348.898000002,18,1,411.64099979400635,0.0,109.14199995994568,302.498999834
m15j25d25p40_2.csv.out,15,25,25,40,2,16,1,515.9960000514984,0.0,0.21899986267089844,515.777000189,16,1,494.0069999694824,0.0,104.55900001525879,389.447999954
m15j25d25p40_3.csv.out,15,25,25,40,3,15,0,1800.5769999027252,0.18222222222100912,0.22900009155273438,1800.34799981,15,1,372.25100016593933,0.0,98.53499984741211,273.716000319
m15j25d25p40_4.csv.out,15,25,25,40,4,16,1,17.674000024795532,0.0,0.23099994659423828,17.4430000782,16,1,313.57599997520447,0.0,99.16899991035461,214.407000065
m15j25d25p40_5.csv.out,15,25,25,40,5,16,0,1800.4130001068115,0.24999999999843886,0.12100005149841309,1800.29200006,16,0,1888.130999803543,0.07606085848631086,79.60799980163574,1808.523
m15j25d25p40_6.csv.out,15,25,25,40,6,18,0,1800.3090000152588,0.05555555555524968,0.22500014305114746,1800.08399987,18,1,298.30400013923645,0.0,76.98199987411499,221.322000265
m15j25d25p40_7.csv.out,15,25,25,40,7,16,0,1800.3769998550415,0.0624999999996106,0.23000001907348633,1800.14699984,16,1,1786.0190000534058,0.0,82.82800006866455,1703.19099998
m15j25d25p40_8.csv.out,15,25,25,40,8,17,1,3.376000165939331,0.0,0.12199997901916504,3.25400018692,17,1,535.2650001049042,0.0,101.97900009155273,433.286000013
m15j25d25p40_9.csv.out,15,25,25,40,9,17,1,11.205999851226807,0.0,0.21799993515014648,10.9879999161,17,1,233.70900011062622,0.0,60.230000019073486,173.479000092
m25j15d15p05_0.csv.out,25,15,15,05,0,2,1,0.24300003051757812,0.0,0.05499982833862305,0.188000202179,2,1,4.101999998092651,0.0,1.6399998664855957,2.46200013161
m25j15d15p05_1.csv.out,25,15,15,05,1,2,1,0.9019999504089355,0.0,0.06800007820129395,0.833999872208,2,1,3.1059999465942383,0.0,1.4029998779296875,1.70300006866
m25j15d15p05_2.csv.out,25,15,15,05,2,4,1,0.21900010108947754,0.0,0.06500005722045898,0.154000043869,4,1,4.7170000076293945,0.0,2.4469997882843018,2.27000021935
m25j15d15p05_3.csv.out,25,15,15,05,3,4,1,0.48000001907348633,0.0,0.059999942779541016,0.420000076294,4,1,2.580000162124634,0.0,1.6159999370574951,0.964000225067
m25j15d15p05_4.csv.out,25,15,15,05,4,2,1,0.25999999046325684,0.0,0.05200004577636719,0.207999944687,2,1,3.188999891281128,0.0,1.434000015258789,1.75499987602
m25j15d15p05_5.csv.out,25,15,15,05,5,4,1,2.185999870300293,0.0,0.0710000991821289,2.11499977112,4,1,6.449000120162964,0.0,2.5210001468658447,3.9279999733
m25j15d15p05_6.csv.out,25,15,15,05,6,1,1,21.709999799728394,0.0,0.051999807357788086,21.6579999924,1,1,15.786999940872192,0.0,2.4729998111724854,13.3140001297
m25j15d15p05_7.csv.out,25,15,15,05,7,2,1,0.9249999523162842,0.0,0.0690000057220459,0.855999946594,2,1,4.8999998569488525,0.0,2.0779998302459717,2.8220000267
m25j15d15p05_8.csv.out,25,15,15,05,8,6,1,11.95799994468689,0.0,0.05299997329711914,11.9049999714,6,1,7.486000061035156,0.0,3.5119998455047607,3.97400021553
